"id","staff_id","tag_id","location_id","entered","exited"
"1000","30013","68","1","2007-11-27T11:43:23.0","2007-11-27T11:46:45.0"
"1001","30013","68","1","2007-11-27T15:28:49.0","2007-11-27T15:31:20.0"
"1002","30013","68","1","2007-11-27T16:37:57.0","2007-11-27T16:54:09.0"
"1003","30013","68","1","2007-11-28T16:29:36.0","2007-11-28T16:57:41.0"
"1004","30013","68","1","2007-11-28T19:26:22.0","2007-11-28T19:27:43.0"
"1005","30013","68","1","2007-12-02T16:28:24.0","2007-12-02T16:37:22.0"
"1006","30013","68","1","2007-12-02T21:37:38.0","2007-12-02T21:46:36.0"
"1007","30013","68","1","2007-12-05T11:27:04.0","2007-12-05T11:34:49.0"
"1008","30013","68","1","2007-12-05T11:49:41.0","2007-12-05T12:04:00.0"
"1009","30013","68","1","2007-12-07T15:35:35.0","2007-12-07T15:36:18.0"
"1010","30013","68","1","2007-12-11T10:08:49.0","2007-12-11T10:44:05.0"
"1011","30013","68","1","2007-12-13T09:37:41.0","2007-12-13T09:41:39.0"
"1012","30013","68","1","2007-12-16T21:47:23.0","2007-12-16T21:55:39.0"
"1013","30013","68","1","2007-12-17T17:11:02.0","2007-12-17T17:27:26.0"
"1014","30013","68","1","2007-12-18T17:38:48.0","2007-12-18T18:55:51.0"
"1015","30013","68","1","2007-12-21T18:08:28.0","2007-12-21T18:17:20.0"
"1016","30013","68","1","2007-12-23T20:34:27.0","2007-12-23T20:39:52.0"
"1017","30013","68","1","2007-12-23T20:56:43.0","2007-12-23T21:13:38.0"
"1018","30013","68","1","2007-12-24T07:51:01.0","2007-12-24T08:04:53.0"
"1019","30013","68","1","2007-12-27T18:18:33.0","2007-12-27T18:21:21.0"
"1020","30013","68","1","2007-12-28T11:26:32.0","2007-12-28T11:28:33.0"
"1021","30013","68","1","2007-12-29T18:16:51.0","2007-12-29T19:11:44.0"
"1022","30013","68","1","2007-12-29T20:59:12.0","2007-12-29T21:17:07.0"
"1023","30013","68","1","2007-12-30T20:35:03.0","2007-12-30T20:37:35.0"
"1024","30013","68","1","2007-12-31T14:10:00.0","2007-12-31T14:27:51.0"
"1025","30013","68","1","2008-01-09T21:18:48.0","2008-01-09T21:25:34.0"
"1026","30013","68","1","2008-01-11T19:24:05.0","2008-01-11T19:29:08.0"
"1027","30013","68","1","2008-01-13T22:55:37.0","2008-01-14T08:00:16.0"
"1028","30013","68","1","2008-01-15T17:42:59.0","2008-01-15T17:57:40.0"
"1029","30013","68","1","2008-01-16T11:07:02.0","2008-01-16T11:36:31.0"
"1030","30013","68","1","2008-01-17T16:33:08.0","2008-01-17T16:49:08.0"
"1031","30013","68","1","2008-01-22T18:52:11.0","2008-01-22T18:58:06.0"
"1032","30013","68","1","2008-01-23T15:23:13.0","2008-01-23T15:45:51.0"
"1033","30013","68","1","2008-01-25T14:34:21.0","2008-01-25T14:38:23.0"
"1034","30013","68","1","2008-01-25T17:45:37.0","2008-01-25T17:57:57.0"
"1035","30013","68","1","2008-01-26T20:31:08.0","2008-01-26T20:46:15.0"
"1036","30013","68","1","2008-01-26T22:49:59.0","2008-01-26T22:56:24.0"
"1037","30013","68","1","2008-01-27T22:06:35.0","2008-01-27T22:34:57.0"
